X,Y,FID,Source,Year,Line,Station,Service_Ty,Direction,Boards,Leaves,Stop_ID,Latitude,Longitude
-8368959.34189597,4909267.4465563,100,Census,2017,Lansdale/Doylestown,New Britain,Saturday,Inbound,11,0,90536,40.29749061,-75.17964089
-8368959.34189597,4909267.4465563,101,Census,2017,Lansdale/Doylestown,New Britain,Saturday,Outbound,0,21,90536,40.29749061,-75.17964089
-8368959.34189597,4909267.4465563,102,Census,2017,Lansdale/Doylestown,New Britain,Sunday,Inbound,19,1,90536,40.29749061,-75.17964089
-8368959.34189597,4909267.4465563,103,Census,2017,Lansdale/Doylestown,New Britain,Sunday,Outbound,1,30,90536,40.29749061,-75.17964089
-8432762.38745605,4818129.22319261,104,Census,2017,Wilmington/Newark,Newark,Weekday,Inbound,318,0,90201,39.67018255,-75.7527934
-8432762.38745605,4818129.22319261,105,Census,2017,Wilmington/Newark,Newark,Weekday,Outbound,0,238,90201,39.67018255,-75.7527934
-8432762.38745605,4818129.22319261,106,Census,2017,Wilmington/Newark,Newark,Saturday,Inbound,0,0,90201,39.67018255,-75.7527934
-8432762.38745605,4818129.22319261,107,Census,2017,Wilmington/Newark,Newark,Saturday,Outbound,0,0,90201,39.67018255,-75.7527934
-8432762.38745605,4818129.22319261,108,Census,2017,Wilmington/Newark,Newark,Sunday,Inbound,0,0,90201,39.67018255,-75.7527934
-8432762.38745605,4818129.22319261,109,Census,2017,Wilmington/Newark,Newark,Sunday,Outbound,0,0,90201,39.67018255,-75.7527934
-8362833.68635244,4881117.08337467,110,Census,2017,West Trenton,Noble,Weekday,Inbound,166,29,90315,40.10434546,-75.12461319
-8362833.68635244,4881117.08337467,111,Census,2017,West Trenton,Noble,Weekday,Outbound,31,200,90315,40.10434546,-75.12461319
-8362833.68635244,4881117.08337467,112,Census,2017,West Trenton,Noble,Saturday,Inbound,51,17,90315,40.10434546,-75.12461319
-8362833.68635244,4881117.08337467,113,Census,2017,West Trenton,Noble,Saturday,Outbound,15,38,90315,40.10434546,-75.12461319
-8362833.68635244,4881117.08337467,114,Census,2017,West Trenton,Noble,Sunday,Inbound,31,15,90315,40.10434546,-75.12461319
-8362833.68635244,4881117.08337467,115,Census,2017,West Trenton,Noble,Sunday,Outbound,9,19,90315,40.10434546,-75.12461319
-8387260.60014085,4882329.48041354,116,Census,2017,Manayunk/Norristown,Norristown Transportation Center,Weekday,Inbound,854,0,90226,40.11267529,-75.34404389
-8387260.60014085,4882329.48041354,117,Census,2017,Manayunk/Norristown,Norristown Transportation Center,Weekday,Outbound,2,781,90226,40.11267529,-75.34404389
-8387260.60014085,4882329.48041354,118,Census,2017,Manayunk/Norristown,Norristown Transportation Center,Saturday,Inbound,275,0,90226,40.11267529,-75.34404389
-8387260.60014085,4882329.48041354,119,Census,2017,Manayunk/Norristown,Norristown Transportation Center,Saturday,Outbound,2,356,90226,40.11267529,-75.34404389
-8387260.60014085,4882329.48041354,120,Census,2017,Manayunk/Norristown,Norristown Transportation Center,Sunday,Inbound,187,1,90226,40.11267529,-75.34404389
-8387260.60014085,4882329.48041354,121,Census,2017,Manayunk/Norristown,Norristown Transportation Center,Sunday,Outbound,0,223,90226,40.11267529,-75.34404389
-8366072.78965107,4864762.076971,122,Census,2017,Lansdale/Doylestown,North Broad,Weekday,Inbound,6,49,90008,39.99187796,-75.15371055
