objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
230,42101024200,308,1978,2025,1368884.18,413663.92,37722.62,288120.65,2108391.37,6845.43
231,42101024300,192,1987,2025,777235.91,257181.21,25362.71,135238.32,1195018.15,6224.05
232,42101024400,306,1978,2025,1317533.94,336890.85,38177.21,231876.43,1924478.43,6289.15
233,42101024500,479,1978,2025,1879285.21,843166.38,79131.01,490341.61,3292638.22,6873.98
234,42101024600,236,1978,2025,1411418.39,418123.13,45845.6,249436.62,2124823.74,9003.49
235,42101024700,484,1978,2025,1799574.54,966162.75,78389.98,533887.12,3378014.39,6979.37
236,42101024800,182,1993,2025,673923.15,193283.94,18677.33,144715.06,1030599.48,5662.63
237,42101024900,306,1990,2025,1226716.19,406468.87,43217.81,229183.12,1905585.99,6227.41
238,42101025200,476,1990,2025,2044793.23,484563.66,62541.54,286071.78,2877970.21,6046.16
239,42101025300,361,1979,2025,1596192.82,342021.03,41193.28,215438.72,2194845.85,6079.91
240,42101025400,209,1997,2025,1111658.39,204544.12,27336.28,90294.36,1433833.15,6860.45
241,42101025500,129,1978,2025,948305.27,69903.31,13853.12,66007.49,1098069.19,8512.16
242,42101025600,61,1998,2025,396644.65,67386.33,8706.3,24686.92,497424.2,8154.5
243,42101025700,72,2008,2025,418091.24,83115.74,7621.8,16767.75,525596.53,7299.95
244,42101025800,73,2000,2025,373568.66,37908.95,6677.4,24974.27,443129.28,6070.26
245,42101025900,284,1994,2025,1358657.81,121637.39,20447.49,111471.45,1612214.14,5676.81
246,42101026000,155,2000,2025,659853.05,69955.85,17478.1,57572.09,804859.09,5192.64
247,42101026100,157,1978,2025,847035.03,101325.79,12658.27,66553.18,1027572.27,6545.05
248,42101026200,210,1995,2025,859695.65,81180.11,12346.59,77146.3,1030368.65,4906.52
249,42101026301,242,1999,2025,1011639.62,106007.98,14893.46,98037.83,1230578.89,5085.04
250,42101026302,343,1996,2025,1638036.55,244136.32,38666.35,168990.42,2089829.64,6092.8
251,42101026400,376,1997,2025,1551330.24,161457.53,24132.88,146296.47,1883217.12,5008.56
252,42101026500,378,1978,2025,1816589.41,411871.03,48403.56,235931.16,2512795.16,6647.61
253,42101026600,433,1994,2025,1881852.61,282401.12,40332.58,191980.18,2396566.49,5534.8
254,42101026700,476,1979,2025,1965482.34,309504.31,43651.3,254571.45,2573209.4,5405.9
255,42101026800,140,1981,2025,955232.58,284387.76,28147.93,112562.08,1380330.35,9859.5
256,42101026900,64,1995,2025,407654.28,96492.94,6673.53,40799.97,551620.72,8619.07
257,42101027000,69,1997,2025,506982.98,32662.37,5617.84,36489.22,581752.41,8431.19
258,42101027100,63,1995,2025,158483.35,21846.16,3596.24,14555.32,198481.07,3150.49
259,42101027200,107,2008,2025,261984.05,33823.71,5466.85,27671.81,328946.42,3074.27
260,42101027300,166,1997,2025,548211.84,103406.57,15891.5,81146.85,748656.76,4509.98
261,42101027401,115,1997,2025,280233.95,47340.59,7635.39,40112.36,375322.29,3263.67
262,42101027402,217,1992,2025,629585.26,114396.28,16223.87,100552.8,860758.21,3966.63
263,42101027500,193,1988,2025,765590.06,101430.05,14834.18,84922.28,966776.57,5009.21
264,42101027600,254,1980,2025,1294707.66,345428.53,39664.34,192719.96,1872520.49,7372.13
265,42101027700,411,1978,2025,1550991.79,489348.62,49082.08,341224.16,2430646.65,5913.98
266,42101027800,299,1994,2025,1287382.86,244275.43,36215.22,181781.35,1749654.86,5851.69
267,42101027901,431,1978,2025,1722681.88,559152.85,54943.4,410468.38,2747246.51,6374.12
268,42101027902,157,1986,2025,570149.54,182729.95,18119.64,117964.91,888964.04,5662.19
269,42101028000,472,1984,2025,1495995.94,520768.99,47941.61,361550.58,2426257.12,5140.38
270,42101028100,340,1978,2025,1200157.99,397339.09,39815.71,249014.52,1886327.31,5548.02
271,42101028200,305,1991,2025,918425.89,195079.9,27006.43,155348.89,1295861.11,4248.72
272,42101028300,660,1979,2025,2224155.12,848974.03,79976.8,494021.51,3647127.46,5525.95
273,42101028400,538,1978,2025,1419382.59,816513.85,57302.29,427762.36,2720961.09,5057.55
274,42101028500,124,1996,2025,355746.24,85740.23,13101.26,63252.56,517840.29,4176.13
275,42101028600,375,1996,2025,1049464.42,224731.03,31803.81,204347.16,1510346.42,4027.59
276,42101028700,171,1978,2025,569797,165619.11,19870.01,106421.46,861707.58,5039.23
277,42101028800,281,1992,2025,831690.73,205412.4,31625.04,151458.11,1220186.28,4342.3
278,42101028901,167,1997,2025,396763.83,95762.09,12908.78,74390.42,579825.12,3472.01
279,42101028902,208,1997,2025,603452.78,126737.74,17405.64,93832.71,841428.87,4045.33
280,42101029000,203,1978,2025,659430.11,169163.8,19589.74,107937.58,956121.23,4709.96
281,42101029100,112,1978,2025,1316649.72,168794.32,50018.48,66602.24,1602064.76,14304.15
282,42101029200,140,1997,2025,434470.4,56342.26,9587.71,49911.71,550312.08,3930.8
283,42101029300,257,1983,2025,976634.98,353844.54,39431.18,219528.34,1589439.04,6184.59
284,42101029400,366,1978,2025,1075029.58,345373.4,40040.52,276388.02,1736831.52,4745.44
285,42101029800,164,1997,2025,394647.87,55810.63,10464.02,57495.06,518417.58,3161.08
286,42101029900,281,1980,2025,827523.31,275193.5,30778.04,190867.62,1324362.47,4713.03
287,42101030000,542,1978,2025,1770577.53,573995.29,63496.08,377092.73,2785161.63,5138.67
288,42101030100,192,1985,2025,1229699.31,450464.9,44468.1,217355.65,1941987.96,10114.52
289,42101030200,162,1997,2025,591696.45,79576.42,14133.48,58304.99,743711.34,4590.81
290,42101030501,118,2001,2025,355475.66,93433.16,9858.03,54344.35,513111.2,4348.4
291,42101030502,112,1997,2025,430448.46,61704.71,8734.23,46723.55,547610.95,4889.38
292,42101030600,128,1997,2025,443662.34,96110.37,16830.22,61016.15,617619.08,4825.15
293,42101030700,57,1997,2025,436933.83,57278,5432.76,28837.7,528482.29,9271.62
294,42101030800,89,1995,2025,314879.23,43367.89,5801.63,26556.14,390604.89,4388.82
295,42101030900,51,1988,2025,207983.97,28273.7,2029.62,23521.63,261808.92,5133.51
296,42101031000,104,1997,2025,454825.29,79141.53,14345.93,52534.29,600847.04,5777.38
297,42101031101,99,2010,2025,276598.71,40426.71,7714.8,27344.29,352084.51,3556.41
298,42101031102,88,2012,2025,244173.79,32451.18,5653.77,23918.62,306197.36,3479.52
299,42101031200,66,1993,2025,172570.73,15429.19,1713.75,12041.25,201754.92,3056.89
300,42101031300,109,1997,2025,529062,87389.2,10513.77,37048.02,664012.99,6091.86
