structure_id,id_type,standpipe_status,standpipe_casefile,fire_alarm_status,fire_alarm_casefile,smoke_control_status,smoke_control_casefile,pier_status,pier_casefile,fire_escape_status,fire_escape_casefile,private_bridge_status,private_bridge_casefile,emer_stdby_pwr_sys_status,emer_stdby_pwr_sys_casefile,special_hazards_status,special_hazards_casefile,facade_status,facade_casefile,sprinkler_status,sprinkler_casefile,damper_status,damper_casefile,objectid
1418004,BIN,,,Active,,,,,,,,,,,,,,Active,,Deficient,CF-2025-117638,,,5194
1463005,BIN,,,Active,,,,,,,,,,,,Deficient,CF-2025-117325,Expired,,Deficient,CF-2025-091461,,,5195
1535521,BIN,,,Expired,,,,,,,,,,Active,,,,,,Active,,,,5196
1136947,BIN,,,Expired,,,,,,,,,,,,,,Active,,Deficient,,,,5197
1319614,BIN,,,Active,,,,,,,,,,,,Active,,,,Active,,,,5198
1546205,BIN,,,Expired,,,,,,,,,,,,Expired,,,,Deficient,,,,5199
1427895,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5200
1431515,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5201
1008081,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5202
1545181,BIN,,,Expired,,,,,,Expired,,,,,,,,,,,,,,5203
1312364,BIN,,,Active,,,,,,,,,,,,,,Active,,Active,,,,5204
1017849,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5205
1269636,BIN,,,Deficient,CF-2025-093163,,,,,,,,,,,Expired,CF-2025-093163,,,,,,,5206
1311689,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,5207
1009093,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,5208
3000079,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5209
1375197,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5210
1103021,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5211
1518613,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5212
1530917,BIN,,,Expired,,,,,,,,,,Expired,,Active,,,,,,,,5213
1190651,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,5214
1367467,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5215
1017181,BIN,,,Active,,,,,,,,,,,,Active,,,,Expired,,,,5216
1436296,BIN,,,,,,,,,Active,,,,,,Expired,,,,,,,,5217
1238723,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,5218
1048560,BIN,,,,,,,,,,,,,Active,,Active,,,,,,,,5219
1118178,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,5220
1216191,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5221
1461228,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,5222
1546932,BIN,,,Active,,,,,,,,,,Expired,,Active,,Active,,Active,,,,5223
1544700,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5224
1404512,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5225
1122943,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5226
1344359,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,5227
1101970,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,5228
1476700,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5229
1500095,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5230
1168810,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5231
1430661,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,5232
1507061,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5233
1546648,BIN,,,Active,,,,,,,,,,,,,,Active,,Expired,,,,5234
1086190,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5235
1429964,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5236
1453799,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5237
1455598,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,5238
1402539,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,5239
1442928,BIN,,,Active,,,,,,,,,,,,Active,,,,Deficient,CF-2025-080260,,,5240
1000752,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5241
1051010,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5242
1039931,BIN,,,Expired,,,,,,,,,,Expired,,,,,,Expired,,,,5243
1019768,BIN,,,Active,,,,,,,,,,,,Active,,,,Active,,,,5244
1453293,BIN,,,Active,,,,,,,,,,Expired,,,,Active,,Expired,,,,5245
1005093,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5246
1005972,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5247
1018282,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5248
1122737,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5249
1549234,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5250
1422585,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5251
1075926,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5252
1397466,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,5253
1543668,BIN,,,Active,,,,,,,,,,,,Deficient,,,,,,,,5254
1214289,BIN,,,Active,,,,,,,,,,Active,,,,,,Active,,,,5255
1370849,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5256
1507239,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5257
1521843,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5258
1478309,BIN,,,Active,,,,,,,,,,Active,,Active,,,,Active,,,,5259
